seccion,segmento,Estacion
22.0,219.0,Prado
22.0,220.0,Prado
22.0,223.0,Prado
22.0,225.0,Prado
22.0,228.0,Prado
22.0,230.0,Prado
22.0,234.0,Prado
23.0,3.0,Prado
23.0,4.0,Prado
23.0,101.0,Prado
23.0,102.0,Prado
23.0,105.0,Prado
23.0,106.0,Prado
23.0,107.0,Prado
23.0,108.0,Prado
23.0,109.0,Prado
23.0,110.0,Prado
23.0,111.0,Prado
23.0,112.0,Prado
23.0,201.0,Prado
23.0,202.0,Prado
23.0,205.0,Prado
23.0,206.0,Prado
23.0,207.0,Prado
23.0,208.0,Prado
23.0,209.0,Prado
23.0,210.0,Prado
23.0,211.0,Prado
23.0,212.0,Prado
24.0,3.0,Prado
24.0,4.0,Prado
24.0,111.0,Prado
24.0,112.0,Prado
24.0,113.0,Prado
24.0,223.0,Prado
24.0,5.0,Prado
24.0,27.0,Prado
24.0,101.0,Prado
24.0,102.0,Prado
24.0,106.0,Prado
24.0,107.0,Prado
24.0,108.0,Prado
24.0,109.0,Prado
24.0,110.0,Prado
24.0,114.0,Prado
24.0,115.0,Prado
24.0,116.0,Prado
24.0,117.0,Prado
24.0,118.0,Prado
24.0,119.0,Prado
24.0,120.0,Prado
24.0,218.0,Prado
24.0,219.0,Prado
24.0,121.0,Prado
24.0,122.0,Prado
24.0,123.0,Prado
24.0,124.0,Prado
24.0,125.0,Prado
24.0,126.0,Prado
24.0,201.0,Prado
24.0,202.0,Prado
24.0,220.0,Prado
24.0,221.0,Prado
24.0,222.0,Prado
24.0,224.0,Prado
24.0,206.0,Prado
24.0,207.0,Prado
24.0,208.0,Prado
24.0,209.0,Prado
24.0,210.0,Prado
24.0,211.0,Prado
24.0,212.0,Prado
24.0,213.0,Prado
24.0,214.0,Prado
24.0,215.0,Prado
24.0,216.0,Prado
24.0,217.0,Prado
24.0,225.0,Prado
24.0,226.0,Prado
24.0,318.0,Prado
24.0,319.0,Prado
25.0,1.0,Prado
99.0,1.0,Carrasco
99.0,2.0,Carrasco
99.0,6.0,Carrasco
99.0,7.0,Carrasco
99.0,21.0,Prado
99.0,22.0,Prado
99.0,23.0,Prado
99.0,24.0,Prado
99.0,26.0,Prado
99.0,27.0,Prado
99.0,39.0,Prado
99.0,40.0,Prado
99.0,41.0,Prado
99.0,42.0,Prado
99.0,43.0,Prado
99.0,44.0,Prado
99.0,45.0,Prado
99.0,46.0,Prado
99.0,47.0,Carrasco
99.0,48.0,Prado
99.0,49.0,Prado
99.0,50.0,Carrasco
99.0,52.0,Carrasco
99.0,53.0,Carrasco
99.0,54.0,Carrasco
99.0,56.0,Carrasco
99.0,57.0,Carrasco
99.0,58.0,Carrasco
99.0,64.0,Carrasco
99.0,65.0,Carrasco
99.0,70.0,Carrasco
99.0,71.0,Carrasco
99.0,72.0,Carrasco
99.0,75.0,Carrasco
99.0,77.0,Carrasco
99.0,99.0,Carrasco
99.0,266.0,Carrasco
99.0,103.0,Carrasco
99.0,104.0,Carrasco
99.0,105.0,Carrasco
99.0,108.0,Carrasco
99.0,267.0,Carrasco
99.0,110.0,Carrasco
99.0,125.0,Prado
99.0,151.0,Prado
99.0,155.0,Carrasco
99.0,166.0,Carrasco
99.0,167.0,Carrasco
99.0,203.0,Carrasco
99.0,204.0,Carrasco
99.0,205.0,Carrasco
99.0,208.0,Carrasco
99.0,210.0,Carrasco
99.0,225.0,Prado
99.0,251.0,Prado
99.0,255.0,Carrasco
17.0,238.0,Prado
