secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
4.0,204.0,2019.0,10.0,943.0,0.6896186440677966,0.2701271186440678,0.02754237288135593,190806.783
4.0,204.0,2019.0,11.0,932.0,0.6952789699570815,0.26394849785407726,0.027896995708154508,180929.89899999998
4.0,204.0,2019.0,12.0,937.0,0.6929637526652452,0.27078891257995735,0.02771855010660981,171116.98700000002
5.0,101.0,2019.0,1.0,752.0,0.7330677290836654,0.20849933598937584,0.029216467463479414,140540.983
5.0,101.0,2019.0,2.0,747.0,0.7303070761014686,0.21228304405874499,0.029372496662216287,145864.5
5.0,101.0,2019.0,3.0,764.0,0.725130890052356,0.21858638743455497,0.028795811518324606,136056.141
5.0,101.0,2019.0,4.0,769.0,0.7189119170984456,0.22538860103626943,0.02849740932642487,118895.44
5.0,101.0,2019.0,5.0,777.0,0.718508997429306,0.2275064267352185,0.028277634961439587,148450.413
5.0,101.0,2019.0,6.0,777.0,0.718508997429306,0.22879177377892032,0.02699228791773779,173868.598
5.0,101.0,2019.0,7.0,759.0,0.7061923583662714,0.23847167325428195,0.02766798418972332,188433.42
5.0,101.0,2019.0,8.0,763.0,0.7045751633986929,0.24052287581699347,0.027450980392156862,200079.639
5.0,101.0,2019.0,9.0,759.0,0.6898817345597897,0.25098554533508544,0.02890932982917214,197362.112
5.0,101.0,2019.0,10.0,772.0,0.6852331606217616,0.25259067357512954,0.03238341968911917,156370.038
5.0,101.0,2019.0,11.0,757.0,0.6921052631578948,0.24736842105263157,0.030263157894736843,148242.80099999998
5.0,101.0,2019.0,12.0,757.0,0.6948480845442536,0.24702774108322326,0.02774108322324967,139075.653
5.0,103.0,2019.0,1.0,675.0,0.7692307692307693,0.1849112426035503,0.034023668639053255,128564.572
5.0,103.0,2019.0,2.0,687.0,0.7648766328011611,0.19013062409288825,0.03483309143686502,129308.136
5.0,103.0,2019.0,3.0,684.0,0.7631578947368421,0.19005847953216373,0.03508771929824561,120535.56899999999
5.0,103.0,2019.0,4.0,680.0,0.7562408223201175,0.19530102790014683,0.03671071953010279,104525.69499999999
5.0,103.0,2019.0,5.0,687.0,0.7576197387518142,0.19738751814223512,0.036284470246734396,126250.043
5.0,103.0,2019.0,6.0,694.0,0.7456896551724138,0.21120689655172414,0.034482758620689655,145308.907
5.0,103.0,2019.0,7.0,691.0,0.7395079594790159,0.2170767004341534,0.03473227206946455,157439.414
5.0,103.0,2019.0,8.0,698.0,0.7410586552217453,0.21745350500715308,0.032904148783977114,171126.13199999998
5.0,103.0,2019.0,9.0,683.0,0.7335285505124451,0.22108345534407028,0.036603221083455345,169124.56
5.0,103.0,2019.0,10.0,690.0,0.7275362318840579,0.2246376811594203,0.0391304347826087,134623.437
5.0,103.0,2019.0,11.0,676.0,0.7267355982274741,0.2259970457902511,0.03840472673559823,123471.26000000001
5.0,103.0,2019.0,12.0,688.0,0.7252906976744186,0.22529069767441862,0.040697674418604654,118675.155
5.0,105.0,2019.0,1.0,623.0,0.7463884430176565,0.1942215088282504,0.056179775280898875,138616.873
5.0,105.0,2019.0,2.0,622.0,0.7395498392282959,0.20096463022508038,0.05627009646302251,132537.767
5.0,105.0,2019.0,3.0,623.0,0.7371794871794872,0.20352564102564102,0.05608974358974359,128743.433
5.0,105.0,2019.0,4.0,622.0,0.7395498392282959,0.20096463022508038,0.05627009646302251,107447.239
5.0,105.0,2019.0,5.0,619.0,0.7399030694668821,0.20032310177705978,0.05654281098546042,144992.526
5.0,105.0,2019.0,6.0,623.0,0.7399678972712681,0.19903691813804172,0.05778491171749599,160133.93600000002
5.0,105.0,2019.0,7.0,612.0,0.7406199021207178,0.19902120717781402,0.057096247960848286,173663.13799999998
